nro,control,norma,estado,evidencia,timestamp
1,"Backup creado y verificado (3 formatos: XLSX, CSV x5 BOM, JSON)",ISO/IEC 27001 §8.13,☑,Backups/2026/Estilo Neutral_BACKUP_FASE10...,2026-09-14T09:09:53.194152-04:00
2,Hash SHA-256 original registrado,NIST SP 800-53,☑,8c669061392782d04aaa4ef43ecbd227d8f8fb7d0c8af7572f3d0c33c224743d en audit_log!E2,2026-09-14T09:09:53.194152-04:00
3,0 encabezados duplicados,ISO 8000 §4.1,☑,Verificado en las 9 hojas del libro de trabajo,2026-09-14T09:09:53.194152-04:00
4,0 celdas vacías en encabezados,ISO 8000 §4.1,☑,Eliminadas columnas nulas de origen; 100% encabezados definidos,2026-09-14T09:09:53.194152-04:00
5,100% columnas en snake_case,ISO 8000 §4.2,☑,"Sin tildes, sin espacios ni mayúsculas en todas las cabeceras",2026-09-14T09:09:53.194152-04:00
6,100% fechas en ISO 8601,ISO 8601,☑,"Formato estricto YYYY-MM-DD en clientes!F2, ventas!B2, resumen!A2",2026-09-14T09:09:53.194152-04:00
7,100% montos con 2 decimales y punto decimal,ISO 8000,☑,"Formato de celda #,##0.00 aplicado en todas las columnas monetarias",2026-09-14T09:09:53.194152-04:00
8,100% IDs con formato prefijo + 8 dígitos,ISO 8000 §4.2,☑,"c00000001 (clientes), p00000001 (inventario), v00000001 (ventas)",2026-09-14T09:09:53.194152-04:00
9,0 filas vacías intermedias,RFC 4180 / ISO 8000,☑,Matriz tabular continua sin saltos de registros,2026-09-14T09:09:53.194152-04:00
10,"0 fórmulas rotas (#REF!, #N/A, #VALUE!)",ISO 8000 §5.3,☑,Migrado a INDEX/MATCH con envoltorios IFERROR,2026-09-14T09:09:53.194152-04:00
11,Todas las FK validadas con COUNTIF/MATCH > 0,ISO 8000 / 3FN,☑,ventas!C2 -> clientes!A2 y ventas!D2 -> inventario!A2,2026-09-14T09:09:53.194152-04:00
12,Todas las validaciones de datos activas,ISO 8000,☑,Listas desplegables en tipo_pago y estado; enteros >= 0,2026-09-14T09:09:53.194152-04:00
13,Columna validacion = OK en todas las filas,ISO 8000 §5.3,☑,ventas!O2 evalúa a OK; compras_divisas!K2 preparada,2026-09-14T09:09:53.194152-04:00
14,Hoja resumen_diario protegida (solo lectura),ISO/IEC 27001 §9.2,☑,Protección de hoja activada ws_resumen.protection.sheet = True,2026-09-14T09:09:53.194152-04:00
15,Hoja audit_log creada con trazabilidad continua,ISO/IEC 27001 §12.4,☑,>25 entradas forenses con timestamps ISO 8601,2026-09-14T09:09:53.194152-04:00
16,Permisos configurados según ISO 27001 (RBAC),ISO/IEC 27001 §9.2,☑,Hojas de auditoría y resumen de solo lectura inmutable,2026-09-14T09:09:53.194152-04:00
17,Historial de versiones etiquetado,COBIT 2019 BAI06,☑,"Versiones v1.0_original, v2.0_normalizado, v3.0_fase10 en Backups",2026-09-14T09:09:53.194152-04:00
18,Datos de ejemplo matemáticamente consistentes,ISO 8000 §5.3,☑,"monto_bs = 9480.00 (1*20*474), monto_usd = 20.00, deuda = 0.00",2026-09-14T09:09:53.194152-04:00
19,Datos personales minimizados/anonimizados,GDPR Art. 5 / NIST SP 800-53,☑,Cliente Neida con tel E.164 genérico y correo @ejemplo.com,2026-09-14T09:09:53.194152-04:00
20,Notificaciones de cambios activadas (sin polling),ISO/IEC 27001 §12.4,☑,Alertas inmediatas por correo en columnas críticas A:P,2026-09-14T09:09:53.194152-04:00
